timestamp,ax,ay,az,qs,qx,qy,qz,amag
1636030845748844.000000,-0.011285,-0.010370,1.028521,-0.007625,0.030261,0.418745,0.907568,0.019033
1636030845758515.000000,-0.019703,-0.007991,1.034865,-0.007625,0.030261,0.418745,0.907568,0.028987
1636030845768130.000000,-0.040382,-0.012078,1.042612,-0.007625,0.030261,0.418745,0.907568,0.058372
1636030845777792.000000,-0.029280,-0.014762,1.037854,-0.007625,0.030261,0.418745,0.907568,0.043961
1636030845787444.000000,0.000976,-0.011834,1.026264,-0.007625,0.030261,0.418745,0.907568,0.011914
1636030845797028.000000,0.015189,-0.010126,1.018395,-0.007625,0.030261,0.418745,0.907568,0.023748
1636030845806707.000000,0.023119,-0.010492,1.014613,-0.007625,0.030261,0.418745,0.907568,0.034337
1636030845816332.000000,0.029280,-0.010919,1.012966,-0.007625,0.030261,0.418745,0.907568,0.042824
1636030845825923.000000,0.031232,-0.010187,1.013271,-0.007625,0.030261,0.418745,0.907568,0.045328
1636030845835656.000000,0.027084,-0.009943,1.015650,-0.007625,0.030261,0.418745,0.907568,0.039572
1636030845845251.000000,0.020618,-0.009882,1.019066,-0.007625,0.030261,0.418745,0.907568,0.030787
1636030845854823.000000,0.013237,-0.009943,1.022970,-0.007625,0.030261,0.418745,0.907568,0.021197
1636030845864586.000000,0.002562,-0.010248,1.027789,-0.007625,0.030261,0.418745,0.907568,0.010870
1636030845874193.000000,-0.008357,-0.010919,1.032669,-0.007625,0.030261,0.418745,0.907568,0.016090
1636030845883788.000000,-0.012993,-0.011529,1.034133,-0.007625,0.030261,0.418745,0.907568,0.021692
1636030845893400.000000,-0.010736,-0.011712,1.033035,-0.007625,0.030261,0.418745,0.907568,0.019175
1636030845903005.000000,-0.005307,-0.011102,1.030900,-0.007625,0.030261,0.418745,0.907568,0.013401
1636030845912749.000000,0.001464,-0.010126,1.027484,-0.007625,0.030261,0.418745,0.907568,0.010335
1636030845922352.000000,0.009882,-0.009699,1.023092,-0.007625,0.030261,0.418745,0.907568,0.017011
1636030845931996.000000,0.016287,-0.009577,1.020286,-0.007625,0.030261,0.418745,0.907568,0.024945
1636030845941624.000000,0.017324,-0.009760,1.019920,-0.007625,0.030261,0.418745,0.907568,0.026372
1636030845951243.000000,0.014701,-0.010065,1.021018,-0.007625,0.030261,0.418745,0.907568,0.023099
1636030845960868.000000,0.010431,-0.010004,1.023519,-0.007625,0.030261,0.418745,0.907568,0.017824
1636030845970482.000000,0.005063,-0.010309,1.026386,-0.007625,0.030261,0.418745,0.907568,0.012552
1636030845980098.000000,-0.001525,-0.010431,1.029253,-0.007625,0.030261,0.418745,0.907568,0.010652
1636030845989705.000000,-0.006527,-0.010492,1.031327,-0.007625,0.030261,0.418745,0.907568,0.013974
1636030845999451.000000,-0.006649,-0.011102,1.031388,-0.007625,0.030261,0.418745,0.907568,0.014549
1636030846009039.000000,-0.002745,-0.010980,1.029558,-0.007625,0.030261,0.418745,0.907568,0.011646
1636030846018641.000000,0.001891,-0.010980,1.026813,-0.007625,0.030261,0.418745,0.907568,0.011301
1636030846028360.000000,0.007320,-0.011529,1.024129,-0.007625,0.030261,0.418745,0.907568,0.015495
1636030846037938.000000,0.012810,-0.011224,1.021933,-0.007625,0.030261,0.418745,0.907568,0.021311
1636030846047568.000000,0.014823,-0.010736,1.021018,-0.007625,0.030261,0.418745,0.907568,0.023552
